Jogo,Fase,Mult,IA,PalpCasa,PalpFora,RealCasa,RealFora,CravouAvanco,Pts
Brasil x Marrocos,Grupos,1,Claude,2,1,,,FALSE,
Brasil x Marrocos,Grupos,1,GPT,2,1,,,FALSE,
Brasil x Marrocos,Grupos,1,Gemini,2,1,,,FALSE,
Brasil x Marrocos,Grupos,1,Grok,2,1,,,FALSE,
Haiti x Escócia,Grupos,1,Claude,1,2,,,FALSE,
Haiti x Escócia,Grupos,1,GPT,1,3,,,FALSE,
Haiti x Escócia,Grupos,1,Gemini,0,2,,,FALSE,
Haiti x Escócia,Grupos,1,Grok,0,2,,,FALSE,
Austrália x Turquia,Grupos,1,Claude,1,2,,,FALSE,
Austrália x Turquia,Grupos,1,GPT,1,2,,,FALSE,
Austrália x Turquia,Grupos,1,Gemini,1,2,,,FALSE,
Austrália x Turquia,Grupos,1,Grok,0,1,,,FALSE,
